f_id,event_id,event_name_id,president,event_detail,event_address,event_date_end,event_time_end,event_date_start,event_time_start
614,1,1,<blank>,นางพิณพิศ วัฒนวงศ์วิสุทธิ์<br />\nนายบัญญัติ-นางเพ็ญพักตร์ ขันธวิจิตร์<br />\nนายจิตเพชร-นางแพรวพรรณ พิเดช<br />\nนายสุรพล-นางจารุวรรณ ยอดเมืองเจริญ<br />\nนายศิริพล-นางสุขสรร ยอดเมืองเจริญ<br />\nนายพิรพล-นางประไพพัฒน์ ยอดเมืองเจริญ<br />\nนางอุดม ยอดเมืองเจริญ<br />\nนายเกียรติยศ-นางนิดดา ยอดเมืองเจริญ,วัดธรรมธีราราม(วัดป่าหลังโรงเลื่อย) ข้างโรงพยาบาลประจำจังหวัดบุรีรัมย์ บุรีรัมย์   ,2012-01-14,19:00,2012-01-08,19:00
613,2,1,<blank>,<blank>,ศาลา 1/2 วัดจันทรสโมสร ถนนนครไชยศรี กรุงเทพมหานคร   ,2012-01-13,19:00,2012-01-09,19:00
613,3,2,<blank>,บุตร ธิดา และญาติพี่น้อง<br />\nหสน เลี่ยง เส็ง เฮง พาณิชย์<br />\nบ.ไฮเดลเบิร์กกราฟฟิคส์(ปทท)จำกัด<br />\nบ.ฟิวเจอร์ เอวี จำกัด<br />\nฝ่ายการบัญชี ธนาคารออมสิน<br />\n<br />\nหมายเหตุ<br />\nวันที่ 14 มกราคม 2555 ประกอบพิธีกงเต๊ก,วัดจันทรสโมสร ถนนนครไชยศรี กรุงเทพมหานคร   ,0000-00-00,<blank>,2012-01-15,17:00
612,4,1,<blank>,เจ้าภาพ,ศาลา 4 (ภาณุรังษี) วัดเทพศิรินทราวาส ตำบลวัดเทพศิรินทร์ กรุงเทพมหานคร   ,2012-01-11,19:00,2012-01-05,19:00
611,5,2,<blank>,นางชวลี ปราสาททองโอสถ<br />\r\nบุตรธิดา ครอบครัวปราสาททองโอสถ<br />\r\nเจ้าภาพ,วัดสระเกศราชวรมหาวิหาร กรุงเทพมหานคร   ,0000-00-00,<blank>,2012-01-15,17:00
610,6,1,<blank>,<blank>,วัดแก้วฟ้าจุฬามณี ถนนนครไชยศรี กรุงเทพมหานคร   ,2012-01-11,18:30,2012-01-09,18:30
610,7,2,<blank>,บุตร ธิดา หลาน และ ญาติๆ<br />\r\nสง.รอง ลธ. รมน.(3)<br />\r\nส 13,วัดแก้วฟ้าจุฬามณี ถนนนครไชยศรี กรุงเทพมหานคร   ,0000-00-00,<blank>,2012-01-12,13:00
609,8,1,<blank>,<blank>,วัดเสมียนนารี ตำบลลาดยาว เขตจตุจักร กรุงเทพมหานคร   ,2012-01-13,19:00,2012-01-10,19:00
609,9,2,<blank>,<blank>,วัดเสมียนนารี ตำบลลาดยาว เขตจตุจักร กรุงเทพมหานคร   ,0000-00-00,<blank>,2012-01-14,13:00
608,10,1,<blank>,<blank>,วัดธาตุทอง ตำบลพระโขนง กรุงเทพมหานคร   ,0000-00-00,19:00,2012-01-13,19:00
608,11,3,<blank>,นางทัศนีย์-นายสาโรช เจริญศักดิ์<br />\r\nภรรยา-บุตร เจ้าภาพ,เมรุวัดธาตุทอง ตำบลพระโขนง กรุงเทพมหานคร   ,0000-00-00,<blank>,2012-01-14,20:00
607,12,1,<blank>,<blank>,ศาลา 2 วัดแก้วฟ้าจุฬามณี ถนนนครไชยศรี กรุงเทพมหานคร   ,2012-01-11,18:30,2012-01-09,18:30
