event_name_id,event_name
1,สวดพระอภิธรรม
2,พิธีฌาปนกิจ
3,พระราชทานเพลิงศพ
4,พระราชทานเพลิงศพ(กรณีพิเศษ)
5,เคลื่อนศพไปยังสุสาน
6,พระราชทานดินฝังศพเป็นกรณีพิเศษ
7,พระราชทานหีบเพลิง
9,ประชุมเพลิง
10,พิธีกงเต๊ก
11,ทำบุญร้อยวัน
12,เคลื่อนศพสู่ฌาปนสถาน 
13,กำหนดการอาบน้ำศพ
14,เคลื่อนศพฝัง 
15,รดน้ำศพ
16,การบำเพ็ญกุศล
17,เคลื่อนศพไปยังศาลาแก้วพิจิตร
18,กำหนดสวดพระอภิธรรม
19,ณาปนกิจ
20,เคลื่อนศพไปยังศาลาแก้วพิจิตร วัดพระงาม
21,พิธีพระราชทานเพลิงศพ
22,พิธีเคารพศพ
23,พิธีเคารพผู้ล่วงลับ
24,รดน้ำหลวงอาบศพ
25,จัดพิธีศพ
26,พิธีภาวนาอุทิศ
27,พิธีมิสซา-ปลงศพ
28,พระราชทานพระพิธีธรรมสวดพระอภิธรรม
29,-
30,พิธีบรรจุ
31,พระราชทานน้ำหลวงอาบศพ
3883,ทำพิธีฝัง
2556,กำหนดการสวดอภิธรรมศพ
2555,กำหนดสวดพระอภิธรรมศพ
3837,พิธีสวดกงเต็ก
3846,ถวายภัตตาหารเพล
3845,พระราชทานอาบน้ำศพ
3844,พระราชาทานสวดพระอภิธรรมศพ
3842,พิธีมิสซาปลงศพ 
3843,งดสวดพระอภิธรรม (ปิดศพ)
3841,สวดภาวนาอุทิศ
3839,พิธีประชุมเพลิง
3840,ฌาปนกิจ
3838,พระราชทานดินฝังศพ
3836,พิธีบรรจุศพ
3835,พิธีรดน้ำศพ
3834,สอดพระอภิธรรม
3833,พิธีลอยอังคาร
3832,กำหนดบำเพ็ญกุศลทักษิณานุปทาน
3831,กำหนดการสวดอภิธรรมศพบำเพ็ญกุศลศพ
3830,บรรจุศพ 100 วัน
3829,พิธีพระราชทานเพลิง
3828,พิธีกงเต็ก
3827,เคลื่อนศพไปยังสุสานหัสดินคีรี (เขาช้างคู่)
3826,พระราชทานเพลิง
3825,สวดอภิธรรมศพ 10 คืน ณาปนกิจศพ ที่
3824,กำหนดสวดพระอภิธรรมในการบำเพ็ญกุศลศพ
3823,กำหนดสวดพิธีธรรม
3822,ทำบุญ 7 วัน
3821,พิธีฌาปนกิจ (เผา)
771,กำหนดงานสวดพระอภิธรรมและพระราชทานเพลิง
772,รายนามเจ้าภาพสวดพระอภิธรรมในการบำเพ็ญกุศลศพ
1804,กำหนดการบำเพ็ญพระราชกุศล
1802,กำหนดพระราชทานเพลิงเป็นกรณี
1801,ตั้งศพบำเพ็ญกุศล
1800,กำหนดการสวดพระอภิธรรมศพ
1789,กำหนดการสวดพระอภิธรรม
1788,พระราชทานเพลิงสพ
4244,กำหนดการพิธีบำเพ็ญกุศล
4245,เคลื่อนศพไปยบรรจุ
4259,สวดพระอภิธรรม (พิธีหลวง)
4260,กำหนดฌาปนกิจ
1787,กำหนดการพระราชทานเพลิงศพ
1786,กำหนดการพระราชทานเพลิงกรณีพิเศษ
1785,พระรานทานดินฝังศพ
4258,ทรงพระกรุณาโปรดเกล้าฯ พระราชทาน พระพิธีธรรม
4257,พิธีนมัสการไว้อาลัย
4256,ประกอบพิธีกงเต๊ก
4255,เคลื่อนย้ายศพ
4251,พิธีพระราชทานน้ำหลวงสรงศพ 
4252,พิธีไว้อาลัยแบบคริสเตียน
4253,เคลื่อนศพไปยังคริสจักร
4254,พิธีเคลื่อนศพ
4234,พิธีฌาปนกิจศพ
4233,พระราชทานเพลงิศพ
4232,กำหนดการบำเพ็ญกุศล
1783,พิธีบำเพ็ญพระราชกุศล
1784,รายนามเจ้าภาพสวดพระอภิธรรมในการบำเพ็ญกุศล
4231,กำหนดการฌาปนกิจศพ
4250,พิธีสวดพระอภิธรรมศพ
2980,กำหนดรดน้ำศพ
2979,บรรจุศพ
