id,alt,fix,pic
44,steve jobs,0,stevejobs_theme.gif
45,Abraham Lincoln,0,lincoin1.jpg
46,Mark Zuckerberg,0,mark_theme.jpg
31,หลวงพ่อปัญญานันทภิกขุ,0,pun1.gif
33,หลวงพ่อคูณ,0,koon1.gif
34,หลวงพ่อคูณ,0,koon2.gif
35,หลวงพ่อคูณ,0,koon3.gif
36,หลวงพ่อสด,0,sod1.gif
37,หลวงปู่ทวด วัดช้างให้,0,tuad_ele_1.gif
38,หลวงปู่โต,0,สมเด็จโต1.gif
39,พล.ต.หลวงวิจิตรวาทการ,0,หลวงวิจิตรวาทการ.gif
40,สุนทรภู่,0,สุนทรภู่.gif
41,พุทธศาสนสุภาษิต,0,buddha1l.gif
42,คาร์ดินัล นิวแมน,0,cardinal1.jpg
43,เทียม โชควัฒนา,0,tiam01.jpg
30,ศาสตราจารย์(พิเศษ) นรนิติ เศรษฐบุตร,0,nor1.gif
47,เกียรติ วัธนเวคิน,0,เกียรติ_วัธนเวคิน.gif
48,ดร. ถาวร พรประภา,0,siammotor_theme.jpg
49,พวงหรีดระดับสูง,0,wreath_of_king.jpg
50,องค์การนักศึกษา มหาวิทยาลัยธรรมศาสตร์,0,thammasart_14oct.gif
52,รับถ่ายภาพงานพิธีต่างๆ,0,doge.php
60,ถวัลย์ ดัชนี,0,ถวัลย์.png
56,ศิริกุล เลากัยกุล,0,a1.png
57,ศิริกุล เลากัยกุล,0,a2.png
58,ศิริกุล เลากัยกุล,0,a3.png
59,ชนิต สุวรรณพรินทร์,0,001.png
63,วันมาฆบูชา,0,มาฆบูชา มีสติ.jpg
61,สวัสดีปีใหม่,0,new_year.png
62,Mark Zuckerberg,0,head.png
64,ลี กวน ยู,0,lee_kuan_yew.jpg
66,บริษัท การบินไทย จำกัด (มหาชน),0,banner.jpg
65,สุขสันต์วันสงกรานต์,0,song.jpg
111,http://www.mesati.com/funeral/name.php?id=6720,0,wannarat.jpg
69,ขอบพระคุณ ptt global chemical,0,banner_ptt_mesati.jpg
110,<blank>,0,อาลัย-สรพงศ์-ชาตรี.jpg
73,งานศพ หลวงพ่อ จรัญ ฐิตธมฺโม,0,jarun.jpg
74,http://www.mesati.com/product/product_detail.php?id=10,0,banner_lande.jpg
112,พวงหรีด บริษัท คอมมิวนิเคชั่น แอนด์ ซิสเต็มส์ โซลูชั่น จำกัด,1,web-branner-communication-and-system.jpg
77,http://www.mesati.com/product/product_detail.php?id=44,0,banner_pepsi.jpg
78,http://www.mesati.com/product/index.php?type=7&cat=22,0,Valentine-03.jpg
93,พวงหรีดผู้ช่วยกรรมการผู้จัดการใหญ่การตลาดพาณิชย์ ปตท,0,banner_ptt_1.jpg
80,http://www.mesati.com,0,bannerสงกรานต์.png
81,http://www.mesati.com/funeral/name.php?id=4092,0,แบนเนอร์-มีสติ-ไว้อาลัย-บรรหาร.jpg
82,http://www.mesati.com/product/index.php?type=1&cat=&prv=0&select_temple=0&prices=3&submit=ค%,0,แบนเนอร์-มีสติ-ลุ้นรถ.jpg
83,http://www.mesati.com/product/product_detail.php?id=52,1,thank_rotary_2020.jpg
87,พวงหรีดส่งสำนักพระราชวัง,0,wreath_royal.jpg
84,http://www.mesati.com,0,วันสงกรานต์ แบนเนอร์.jpg
85,www.mesati.com,0,workday_mesati.jpg
86,www.mesati.com,0,visaka_banner.jpg
88,พวงหรีดของคุณ hitachi sale thailand,0,hitachi_thankyou.jpg
91,รับฟรีร่มจากมีสติ,0,mesati_umbrella.jpg
90,ขอบพระคุณ ptt global chemical,0,ptt.jpg
92,สวัสดีปีใหม่ 2017 จากมีสติ.com,0,mesati_happynew_year_2018.jpg
94,gc ptt,0,banner_gc_mesati.jpg
95,Pttgc wreath,0,90D39004-7BF0-4E23-9385-6B010685B9D7.jpeg
96,พวงหรีด บริษัท mept,0,mept_wreath.jpg
97,thank you customer mesati,1,thank_mesati1.jpg
98,ขอบคุณ cpf,1,cpf.jpg
105,ขอบพระคุณ มหาวิทยาลัยหอการค้าไทย,0,thank_utcc_2020.jpg
100,ขอบพระคุณ ptt GC ที่ใช้บริการมีสติดอทคอม,1,thank_ptt_gc_2020.jpg
101,ขอบพระคุณ hitachi ที่ใช้บริการมีสติดอทคอม,0,hitachi_banner_mesati_2019.jpg
104,ขอบพระคุณ Toyota ที่ใช้บริการมีสติดอทคอม,0,thank_toyota.jpg
109,http://www.mesati.com/funeral/name.php?id=6715,0,อาลัย-พิชัย-รัตตกุล.jpg
113,พวงหรีด uob kayhian,1,web-branner-UOB-KayHian.jpg
114,พวงหรีด thai pbs,1,web-branner-Thai-pbs.jpg
115,พวงหรีด sappe,0,web-branner-SAPPE-Public-Company-Limited.jpg
116,ขอบพระคุณโรตารีอาเซียน,1,rotary_wreath_thank_you.jpg
117,ไว้อาลัยคุณ สมบัติ เมทะนี,0,rip_sombut_metanee.jpg
118,rip queen,0,rip-queen-Elizabeth.jpg
119,ไว้อาลัย พลเอก เอกชัย ศรีวิลาศ,0,rip_srivilus.jpg
120,อาลัย รศ.ดร.ธงชัย วงศ์ชัยสุวรรณ,0,rip_dr_thongchai.jpg
121,http://www.mesati.com/funeral/name.php?id=6877,0,rip_pratan_chongpakdee.jpg
122,http://www.mesati.com/funeral/name.php?id=6879,0,rip_jit_banner.png
123,http://www.mesati.com/funeral/name.php?id=6895,0,คุณพ่อสันติ-คุณาพร.jpg
124,<blank>,0,พลตำรวจเอก-พิชิต-ควรเดชะคุปต์2.jpg
125,พวงหรีด jib group,1,web-branner-JIB-12-01-66-2.jpg
126,พวงหรีด ประธานสภาอุตสาหกรรมแห่งประเทศไทย,1,fti_wreath.jpg
127,http://www.mesati.com/funeral/name.php?id=6910,0,pravit_chattala.jpg
128,พวงหรีดสมาคุมอุตสาหกรรมซอฟต์แวร์ไทย,0,atsi_wreath_2.jpg
129,พวงหรีด คุณแสงชัย ประธานกลุ่มบริษัท ฟาติมา,1,ดร.แสงชัย--อภิชาติธนพัฒน์.jpg
130,มีสติดอทคอมร่วมไว้อาลัย คุณชนม์สวัสดิ์ อัศวเหม,0,นายชนม์สวัสดิ์ อัศวเหม.jpg
131,มีสติดอทคอมร่วมไว้อาลัย คุณถนอม สามโทน,0,ถนอม สามโทน.jpg
132,ขอไว้อาลัย คุณอำนวย วีรวรรณ,0,อำนวย วีรวรรณ.jpg
133,ไว้อาลัยคุณนิธิ เอียวศรีวงศ์,0,นิธิ เอียวศรีวงศ์.jpg
134,พวงหรีด บริษัท เชลล์แห่งประเทศไทย,1,บริษัท-เชลล์แห่งประเทศไทย.jpg
135,พวงหรีดท่านวิชัย ชีวกนิษฐ์,1,ผวภ.วิชัย-ชีวนิษฐ์2.jpg
136,ขอบพระคุณ scb ที่เลือกใช้พวงหรีดจากมีสติดอทคอม,1,scb_thankyou.jpg

