shop_id,shop_name,shop_email,shop_amphur,shop_mobile,shop_address,shop_district,shop_postcode,shop_province,shop_telephone
0,pt&t,<blank>,1,<blank>,ลาดพร้าว,ลาดพร้าว,10310,1,0868811872
4,thai florists,info@thaiflorists.com,1,<blank>,http://www.thaiflorists.com,ไม่ทราบ,10310,1,02-552-8110
5,Saraburi Wreat,Salila_tk@hotmail.com,อ.เมือง,<blank>,73/18 ซอย 21 ถ.พหลโยธิน,ต.ปากเพรียว,18000,10,11111111111
6,sine orchid,<blank>,วังทองหลาง,0840829922,191/25 ซอยลาดพร้าว 53 \r\nถนน โชคชัย 4 ซอย 1\r\nwww.ba,สะพาน2,10310,กรุงเทพ,<blank>
7,เฉพาะกรุงเทพ,-,-,-,-,-,-,-,-
8,บุญมา,<blank>,<blank>,081-849-4580,ปากคลองตลาด,<blank>,<blank>,กรุงเทพ,<blank>
9,Love Flower,<blank>,<blank>,<blank>,วัดธาตุทอง,<blank>,<blank>,<blank>,<blank>
10,เรือแก้วบริการ,<blank>,<blank>,<blank>,วัดบางนางเกรง อ.เมือง จ.สมุทรปราการ,<blank>,<blank>,<blank>,<blank>
11,ทิพย์มาศ ฟลอริส,ka55528@hotmail.com,<blank>,<blank>,หน้าวัดนครสวรรค์ ถ.โกลีย์ \r\nLine vanila,<blank>,<blank>,นครสวรรค์,<blank>
12,ร้านดอกไม้วาเลนไทน์,chusikasemsongkam@gmail.com,<blank>,082-774-1523,232/14/15 เยื้อง ร.พ.ร่มฉัตร ถ.สวรรค์วิถี อ.เมือง ,<blank>,<blank>,<blank>,<blank>
13,ร้านสังวาล,<blank>,ลาดพร้าว,<blank>,<blank>,ลาดพร้าว,ลาดพร,กรุงเทพมหานคร,<blank>
14,กรุงเทพและปริมณฑล,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>

