shop_id,shop_fax,shop_desc,shop_name,shop_site,shop_time,shop_email,shop_provi,shop_amphur,shop_address,shop_district,shop_province,shop_telephone
5,<blank>,รับจัดดอกไม้ทั้งในและนอกสถานที่ ราคาย่อมเยา รับจัดแจกัน กระเช้าดอกไม้ ช่อดอกไม้ กระเช้าผลไม้ บริการส่งทั่วกรุงเทพฯ รับจัดพวงหรีด พร้อมบริการส่งทุกวัด ทั่วกรุงเทพฯ วัดมกุฏ วัดโสม วัดเทพ วัดตรี ฯลฯ,ร้านดอกไม้ ต้อย,http://www.toiflower.com,ทำการทุกวัน 06:30-20:00,kessirin_16@hotmail.com,กรุงเทพมหานคร,พระนคร,324  วัดมกุฏกษัตริยาราม แขวงบางขุนพรหม เขตพระนคร กทม 10200,บางขุนพรหม   ,1,"022820404,0816329556"
6,026129041,<blank>,บริษัท เนื้อนาบุญ จำกัด,http://www.nabun.co.th,<blank>,<blank>,กรุงเทพมหานคร,ราชเทวี   ,195/3 ซอยเพชรบุรี 5  แขวงทุ่งพญาไท เขตราชเทวี กทม 10400,ทุ่งพญาไท   ,1,026129460-1
7,<blank>,"ร้านดอกไม้ ฟลาวเวอร์ส สเตชั่น ร้านดอกไม้ที่ถนนนราธิวาส ย่านสีลมและบางรัก บริการรับออกแบบ-ส่งดอกไม้-จัดดอกไม้ ดอกไม้ประดิษฐ์ ช่อ, กระเช้าดอกไม้-ผลไม้, แจกัน, พวงหรีด, มาลัยข้อพระกร, บายศรี, พานขันหมากแบบไทยและแบบโมเดอร์น, รับออกแบบตกแต่งสถานที่ในทุกโอกาส","ร้านดอกไม้, ส่งดอกไม้, จัดดอกไม้, ดอกไม้ประดิษฐ์, ช่อ, กระเช้า, ดอกไม้-ผลไม้, แจกัน, พวงหรีด, มาลัยข้อพระกร, บายศรี, พานขันหมากแบบไทย, พานขันหมากแบบโมเดอร์น, รับออกแบบตกแต่งสถานที่",http://www.flowersstation2005.net,จันทร์-ศุกร์ 07:00-19:00 เปิดรับ Order ตลอด 00:00-24:00,flowersstation2005@yahoo.com,กรุงเทพมหานคร,บางรัก   ,188-188/1  นราธิวาสราชนครินทร์ แขวงสีลม เขตบางรัก กทม 10500,สีลม,1,"026850485, 0814423028"
8,028713973,บริการ รับจัดดอกไม้สด -แห้ง แจกัน กระเช้า ช่อดอกไม้ เชิงเทียน พานพุ่ม ตะกร้าผลไม้ พวงหรีด ดอกไม้ในงานพิธีต่างๆ บริการจัดส่ง,นุชนภา ฟลอรีสท์,<blank>,จันทร์-ศุกร์ 09:00-19:00 เสาร์ 09:00-19:00,<blank>,กรุงเทพมหานคร,ราษฎร์บูรณะ   ,352/8  ราษฎร์บูรณะ แขวงบางปะกอก เขตราษฎร์บูรณะ กทม 10140,บางปะกอก   ,1,028713973
9,027536751,"รับจัดดอกไม้สด งานพิธีต่าง ๆ , แจกันกระเช้า, พวงหรีด, ช่อดอกไม้ แบบมีสไตล์ บริการจัดดอกไม้งานพิธีต่างๆ โดยผู้ชำนาญ โดยอรุณ เรืองเศรษฐา รับจัดส่ง ทั่วกรุงเทพฯ - ปริมณฑล",อนันต์ ฟลอรีสท์,http://www.anantflorist.com,ทำการทุกวัน 06:00-21:00,<blank>,สมุทรปราการ   ,ศรีนคร   ,วัดธาตุทอง-ศรีนครินทร์ ตำบลบางแก้ว อำเภอบางพลี สมุทรปราการ 10540,บางแก้ว   ,2,"027536750,027537483,0833555005"
10,022595827,ดอกไม้สด,ธนาวัลย์ ร้านดอกไม้,http://www.tanaval.com,ทำการทุกวัน 07:00-20:00,order@tanaval.com,กรุงเทพมหานคร,วัฒนา ,513/1-2  สุขุมวิท 29 แขวงคลองเตยเหนือ เขตวัฒนา กทม 10110,คลองเตยเหนือ   ,1,"022583350,022582374"
11,028763105,รับจัดดอกไม้สด-ดอกไม้แห้ง เนื่องในโอกาศต่างๆ เช่น ช่อดอกไม้ พวงหรีดดอกไม้สด พวงหรีดผ้า แจกันดอกไม้ กระเช้าดอกไม้ ดอกไม้แต่งงาน และรับจัดดอกไม้นอกสถานที่ บริการจัดส่งทั่วประเทศ,ดวงเดือน ร้านดอกไม้,http://www.duangduern.com,ทำการทุกวัน 07:30-19:30 นอกเวลา ติดต่อ 08-1622-4931 00:00-00:00,vi_wongsa@yahoo.co.th,กรุงเทพมหานคร,จอมทอง   ,99  วุฒากาศ แขวงบางค้อ เขตจอมทอง กทม 10150,บางค้อ,1,"024687579,0816224931"
12,026762847,"บริษัท ดอกไม้นำพา จำกัด รับจัดดอกไม้ทั้งในและนอกสถานที่ พร้อมมีบริการส่งถึงที่ ช่อดอกไม้, กระเช้าดอกไม้, กระเช้าผลไม้, บู้เก้ดอกไม้, แจกันดอกไม้, ดอกไม้จัดงานอีเว้นท์, ดอกไม้งานพิธีต่างๆ พวงรีดงานศพ",สลับสี ฟลาวเวอร์ บูติก,<blank>,จันทร์-ศุกร์ 09:00-17:00 เสาร์ 09:00-14:00,arayanslubsee@yahoo.com,กรุงเทพมหานคร,สาทร   ,6 ซอยนราธิวาสราชนครินทร์ 10 แยก 8   เขตสาทร กทม 10120,ยานนาวา,1,026762846-8
13,<blank>,"จำหน่ายดอกไม้สดทุกชนิดทั้งปลีกและส่ง, รับจัดช่อดอกไม้, กระเช้าดอกไม้, แจกันดอกไม้, พวงหรีด, มาลัย, บายศรีงานพิธีต่างๆ, พร้อมให้คำปรึกษาด้านการจัดดอกไม้โดยตรง",ร้าน แอ๊ดดอกไม้,<blank>,<blank>,adflower22@hotmail.com,สุรินทร์   ,เมืองสุรินทร์   ,94/5  เทศบาล 2 ตำบลในเมือง อำเภอเมืองสุรินทร์ สุรินทร์ 32000,ในเมือง   ,21,"044518913,0814703622"
14,<blank>,"บริการรับจัดดอกไม้สด, ดอกไม้แห้ง, งานพิธี, งานศพ, งานแต่ง, พวงหรีด, ในและนอกสถานที่",ร้าน สวีท ฟลาวเวอร์,<blank>,จันทร์-ศุกร์ 08:00-17:00,<blank>,กรุงเทพมหานคร,บางรัก   ,อาคารยูไนเต็ดเซ็นเตอร์  ถนนสีลม แขวงสีลม เขตบางรัก กทม 10500,สีลม,1,026311215
15,026794023,รับจัดดอกไม้มากกว่า 10 ปี,กนกนิตย์ ร้านดอกไม้,<blank>,จันทร์-ศุกร์ 08:00-20:00 เสาร์ 09:00-18:00 อาทิตย์ 09:00-18:00,<blank>,กรุงเทพมหานคร,สาทร,720/1 ซอยสวนพลู  แขวงทุ่งมหาเมฆ เขตสาทร กทม 10120,ทุ่งมหาเมฆ   ,1,"026794241-3,0816472321"
16,029129469,รับจัดดอกไม้ บริการส่งถึงที่ ทั่วกรุงเทพ-ปริมณฑล รับจัดพวงหรีด กระเช้าดอกไม้,ร้าน ดอกไม้ทิพย์อาภา บางโพ,<blank>,ทำการทุกวัน 00:00-00:00,<blank>,กรุงเทพมหานคร,บางซื่อ   ,166/36  ประชาราษฎร์สาย 2 แขวงบางซื่อ เขตบางซื่อ กทม 10800,บางซื่อ   ,1,"025852454,029128155,0891178010"
17,023147086,ทางร้านได้เปิดดำเนินมากกว่า 10 ปี เราจะเน้นความสดของดอกไม้ตามฤดูกาล รูปแบบการจัดจะขึ้นอยู่กับสไตล์ที่ลูกค้าชอบหรือสไตล์การจัดที่ทางร้านกำหนดให้ทันสมัยอยู่เสมอ,ชาดา ฟลอริสท์,<blank>,ทำการทุกวัน 07:00-19:00,<blank>,กรุงเทพมหานคร,บางกะปิ   ,224  รามคำแหง แขวงหัวหมาก เขตบางกะปิ กทม 10240,หัวหมาก,1,"023147086,023187259,0813380690"
