temple_id,moo,name,amphur,district,postcode,province
1,ม.6,วัดกระบี่น้อย,เมือง,ตำบลกระบี่น้อย,81000,64
2,ม.2,วัดเกาะลันตา,เกาะลันตา,ตำบลเกาะลันตาใหญ่,81150,64
3,ม.1,วัดแก้วโกรวาราม,เมือง,ตำบลปากน้ำ,81000,64
4,ม.4,วัดเขาคราม,เมือง,ตำบลเขาคราม,81000,64
5,ม.4,วัดเขาดิน,เขาพนม,ตำบลหน้าเขา,81140,64
6,ม.4,วัดเขาต่อ,ปลายพระยา,ตำบลเขาต่อ,81160,64
7,ม.5,วัดเขาพนม,เขาพนม,ตำบลเขาพนม,81140,64
8,ม.1,วัดเขาล่อม,อ่าวลึก,ตำบลเขาใหญ่,81110,64
9,ม.5,วัดคลองขนาน,กิ่งอ.เหนือคลอง,ตำบลคลองขนาน,81130,64
10,ม.2,วัดคลองท่อมใต้,คลองท่อม,ตำบลคลองท่อมใต้,81120,64
11,ม.1,วัดคลองพน,คลองท่อม,ตำบลคลองพน,81170,64
12,ม.6,วัดคลองสน,เมือง,ตำบลอ่าวนาง,81000,64
13,ม.6,วัดคลองใหญ่,เมือง,ตำบลทับปริก,81000,64
14,<blank>,วัดควนสบาย,เมือง,ตำบลกระบี่ใหญ่,81000,64
15,ม.4,วัดควนใหม่,คลองท่อม,ตำบลพรุดินนา,81120,64
16,ม.2,วัดโคกเคี่ยม,กิ่งอ.เหนือคลอง,ตำบลห้วยยูง,81130,64
17,ม.3,วัดโคกแซะ,ปลายพระยา,ตำบลคีรีวง,81160,64
18,ม.4,วัดโคกยาง,กิ่งอ.เหนือคลอง,ตำบลโคกยาง,81130,64
19,ม.2,วัดเจริญทรวงศ์,ลำทับ,ตำบลดินอุดม,81120,64
20,ม.3,วัดเจริญราษฎร์ศรัทธา,อ่าวลึก,ตำบลคลองยา,81110,64
21,ม.1,วัดเฉลิมพนมเขต,เขาพนม,ตำบลเขาดิน,81140,64
22,ม.2,วัดชมพูศรีรัตนบรรพต,อ่าวลึก,ตำบลอ่าวลึกใต้,81110,64
23,ม.1,วัดช่องแบก,ปลายพระยา,ตำบลเขาเขน,81160,64
24,ม.1,วัดถ้ำโกบ,เขาพนม,ตำบลหน้าเขา,81140,64
25,ม.2,วัดถ้ำวารีริน,ปลายพระยา,ตำบลคีรีวง,81160,64
26,ม.1,วัดถ้ำเสือ,เมือง,ตำบลกระบี่น้อย,81000,64
27,ม.2,วัดทรายขาว,คลองท่อม,ตำบลทรายขาว,81170,64
28,ม.5,วัดทับปริก,เมือง,ตำบลทับปริก,81000,64
29,ม.4,วัดท่านุ่น,กิ่งอ.เหนือคลอง,ตำบลเหนือคลอง,81130,64
30,ม.4,วัดทุ่งปรือ,เขาพนม,ตำบลพรุเตียว,81140,64
31,ม.6,วัดธรรมวุชสรณาราม,กิ่งอ.เหนือคลอง,ตำบลปกาสัย,81130,64
32,ม.1,วัดนทีมุขาราม,ปลายพระยา,ตำบลปลายพระยา,81160,64
33,ม.2,วัดนาเหนือ,อ่าวลึก,ตำบลนาเหนือ,81110,64
34,ม.2,วัดในช่อง,เมือง,ตำบลทับปริก,81000,64
35,ม.1,วัดในสระ,เมือง,ตำบลเขาทอง,81000,64
36,ม.4,วัดบางคราม,คลองท่อม,ตำบลคลองท่อมเหนือ,81120,64
37,ม.7,วัดบางเงิน,ปลายพระยา,ตำบลปลายพระยา,81160,64
38,ม.3,วัดบางโทง,อ่าวลึก,ตำบลนาเหนือ,81110,64
39,ม.5,วัดบางผึ้ง,กิ่งอ.เหนือคลอง,ตำบลโคกยาง,81130,64
40,ม.6,วัดบางเหียน,ปลายพระยา,ตำบลปลายพระยา,81160,64
41,ม.3,วัดบ้านตัวอย่าง,ปลายพระยา,ตำบลเขาเขน,81160,64
42,ม.6,วัดบ้านนา,ปลายพระยา,ตำบลเขาต่อ,81160,64
43,ม.5,วัดบ้านไร่,เกาะลันตา,ตำบลเกาะลันตาน้อย,81150,64
44,ม.1,วัดปกาสัย,กิ่งอ.เหนือคลอง,ตำบลปกาสัย,81130,64
45,ม.2,วัดพรุดินนา,คลองท่อม,ตำบลพรุดินนา,81120,64
46,ม.4,วัดพรุเตย,คลองท่อม,ตำบลเพหลา,81120,64
47,ม.1,วัดพรุเตียว,เขาพนม,ตำบลพรุเตียว,81140,64
48,ม.2,วัดพานิชรัตนากุล,กิ่งอ.เหนือคลอง,ตำบลเหนือคลอง,81130,64
49,ม.7,วัดโพธิ์แก้วประสิทธิ์,เขาพนม,ตำบลสินปุน,81120,64
50,ม.2,วัดโพธิ์พัฒนา,เขาพนม,ตำบลโคกหาร,81140,64
51,ม.3,วัดโพธิ์เรียง,เมือง,ตำบลกระบี่น้อย,81000,64
52,ม.2,วัดโพธิ์เลื่อน,เขาพนม,ตำบลเขาพนม,81140,64
53,ม.3,วัดไพรสณฑ์,อ่าวลึก,ตำบลเขาใหญ่,81110,64
54,ม.9,วัดภูมิบรรพต,เขาพนม,ตำบลเขาดิน,81140,64
55,ม.1,วัดโภคาจุฑามาตย์,เมือง,ตำบลกระบี่ใหญ่,81000,64
56,ม.4,วัดมะม่วงเอน,เขาพนม,ตำบลสินปุน,81140,64
57,ม.2,วัดราษฎร์รังสรรค์,อ่าวลึก,ตำบลอ่าวลึกใต้,81110,64
58,ม.5,วัดลำทับ,ลำทับ,ตำบลลำทับ,81120,64
59,ม.4,วัดสถิตโพธาราม,อ่าวลึก,ตำบลแหลมสัก,81110,64
60,ม.6,วัดสหกรณ์,ปลายพระยา,ตำบลคีรีวง,81160,64
61,ม.9,วัดสุวรรณธาราราม,เมือง,ตำบลกระบี่น้อย,81000,64
62,ม.4,วัดไสไทย,เมือง,ตำบลไสไทย,81000,64
63,ม.2,วัดหนองจิก,เมือง,ตำบลเขาคราม,81000,64
64,ม.6,วัดห้วยคราม,กิ่งอ.เหนือคลอง,ตำบลห้วยยูง,81130,64
65,<blank>,วัดห้วยโต้,เมือง,ตำบลทับปริก,81000,64
66,ม.3,วัดแหลมสัก,อ่าวลึก,ตำบลแหลมสัก,81110,64
67,ม.2,วัดอ่าวลึกเหนือ,อ่าวลึก,ตำบลอ่าวลึกเหนือ,81110,64
68,ม.10,วัดกก,จอมทอง,ตำบลจอมทอง,10150,1
69,ม.14,วัดกระจัง,ตลิ่งชัน,ตำบลฉิมพลี,10170,1
70,<blank>,วัดกระจับพินิจ,ธนบุรี,ตำบลบุคคโล,10600,1
