term_id,content_id,term
1,46,มีสติ
2,46,พระพยอม
3,46,ธรรมะ
4,46,รวมการเทศน์
5,46,ฤๅษี
12,47,ตำหนักทรง
11,47,ธุรกิจหลอกลวง
10,47,พระพยอม
13,47,คนเป็นทุกข์
14,48,เผาลูก
15,48,ร่างทรง
16,48,พระพยอม
17,48,โรงพยาบาล ศิริราช
18,48,งมงาย
19,49,สร้างเขื่อนยักษ์
20,49,ย้ายเมืองหลวง
21,49,ดร.สมิธ
22,49,แก้ปัญหาน้ำท่วม
835,43,กลอนงานศพ
834,43,อภิชาติ ดำดี
777,42,อภิชาติ ดำดี
776,42,งานศพ
775,42,ทรัสตี สุขโต
31,45,เมาแล้วขับ
32,45,เทศกาลสงกรานต์
33,45,ร้านโลงศพ
845,44,โลงศพฟรี
844,44,ทำศพฟรี
843,44,ศพไร้ญาติ
1230,41,ชมรมนักพูดเพื่อสังคม
1229,41,อภิชาติ ดำดี
1227,41,งานศพ
1228,41,พลตรี ตะวัน เรืองศรี
1223,24,อภิชาติ ดำดี
1222,24,จีบ จงภักดี
1221,24,กลอนงานศพ
1141,50,เสียตัว
1140,50,พระพยอม
1139,50,พิธีสะเดาะเคราะห์
1138,50,รอยทรงจำ
1137,50,ร่างทรง
52,51,โอนที่
53,51,เจ้า
54,51,คนเข้าทรง
55,51,โดนหลอก
56,51,พระพยอม
57,51,พันธุ์โง่
58,52,ห้ามพระพกอาวุธ
59,52,พระพุทธเจ้า
60,52,พระพยอม
61,52,สำนักทรงเจ้า
62,52,สำนักเข้าทรง
63,52,หนังสือพิมพ์
795,53,เจ้าแม่อุมาเทวี
794,53,เจ้าแม่รัศมี
793,53,เจ้าแม่กาลี
69,54,เจ้าแม่
70,54,ผิดกฏหมาย
71,54,ต่อpassportพระพยอม
72,55,เจ้าแม่กาลี
73,55,ตัวซวย
74,55,ร่างทรง
75,55,พระพยอม
77,57,ร่างทรงตอแหล
78,57,พระพยอม
79,57,ร.5
80,57,เลิกทาส
81,57,ปากหมา
82,57,ปากสร้างสรรค์
83,58,ร.5
84,58,เข้าทรง
85,58,พระบรมรูปทรงม้า
992,59,เศรษฐศาสตร์
991,59,กู้ชาติ
990,59,พระสุพรรณกัลยา
90,60,เจ้าแม่
91,60,ทรงเจ้า
92,60,พระพยอม
93,61,ร่างทรง
94,61,อุมาเทวี
95,61,ขี้ขลาด
96,61,พระพยอม
97,62,ร่างทรง
98,62,จัญไร
99,62,กรมหลวงชุมพร
100,62,พระพยอม
1126,63,พระพยอม
1125,63,หลอกลวง
1124,63,ทรงเจ้า
1123,63,น้ำมนต์
105,64,ร่างทรงภูเก็ต
106,64,ฟันไมเข้า
107,64,ทหารชายแดน
108,64,พระพยอม
109,65,อานนท์
110,65,สมเด็จโต
111,65,ร่างทรง
112,65,คุณสุชาติ
113,65,พระพยอม
114,66,กูเกิล
115,66,เฟซบุ๊ค
116,66,เอชพี
1026,68,อนุรุธ ว่องวานิช
1025,68,อังกฤษตรางู (แอล.พี.)
123,69,กตัญญูกตเวที
124,69,บรรพบุรุษ
125,69,ความสัมพันธ์ในชุมชน
1088,70,กลอนงานศพ
1087,70,ไว้อาลัย
1036,71,วัดเทพศิรินทราวาสราชวรวิหาร
1035,71,งานศพ มนตรี ยอดปัญญา
157,72,เปิดจุดรับกระสอบทราย
156,72,ขนทรายไว้ที่ไหน
155,72,กระสอบทราย
154,72,ใกล้ที่ไหนไปที่นั่น
150,73,เกรียงไกร วิชรธรรมพร
149,73,รู้สู้flood
151,73,ธวัชชัย แสงธรรมชัย
152,73,วรรธนะ รุจิโรจน์สกุล
153,73,สุขพัฒน์ โล่หวัชรินทร์
158,74,mesati
159,74,youtube
160,74,clip
309,89,ไทยรัฐออนไลน์
290,18,งานศพ
288,18,พวงหรีด
289,18,บทความ
287,18,มีสติ
1082,75,คุยกับแอดมิน
1081,75,พวงหรีดมีแบรนด์
1152,76,เสียชีวิต
1151,76,จุรี โอศิริ
1150,76,ป้าจุ๊
313,77,กระทรวงศึกษาธิการ
312,77,นโยบาย
310,77,ความยากจน
311,77,การศึกษา
1061,78,สวนผึ้ง
1060,78,มีสติดอทคอม
1226,79,สัมนา
1225,79,PT&T
1224,79,มีสติ
1038,80,เจ้าคุณอู๋
1037,80,กาพย์ห่อโคลงเห่เรือ
1085,81,ไม่ประมาท
1084,81,มีสติ
1083,81,ขับรถ
259,83,เสียชีวิต
260,83,สู่สุขคติ
258,83,สถาพร กวิตานนท์
257,83,งานศพ
1147,84,พตอ. ชูศักดิ์ จิตรพรหมา
269,85,ประวัติ
