id,pro_id,sort,desc,location
53,2442,3,<blank>,22
52,0,2,<blank>,22
51,2597,1,<blank>,23
37,2448,3,<blank>,14
43,2449,4,<blank>,14
42,1054,4,<blank>,20
41,17,3,<blank>,20
40,16,2,<blank>,20
38,14,1,<blank>,20
50,2441,1,<blank>,22
49,400,4,<blank>,21
48,394,3,<blank>,21
47,396,2,<blank>,21
46,393,1,<blank>,21
45,2451,6,<blank>,14
44,2450,5,<blank>,14
35,0,1,<blank>,14
36,0,1,jjkd,18
56,2792,2,<blank>,25
55,2791,1,<blank>,25
57,2794,3,<blank>,25
58,2796,4,<blank>,25
59,2798,5,<blank>,25
60,2800,6,<blank>,25
61,2802,7,<blank>,25
62,2804,8,<blank>,25
63,2806,9,<blank>,25
64,2808,10,<blank>,25
65,2810,11,<blank>,25
66,2822,12,<blank>,25
67,2823,13,<blank>,25
68,2825,1,<blank>,26
69,2826,2,<blank>,26
70,2827,3,<blank>,26
71,2828,4,<blank>,26
72,2831,5,<blank>,26
73,2833,6,<blank>,26
74,2834,7,<blank>,26
75,2837,8,<blank>,26
76,2838,9,<blank>,26
77,2840,10,<blank>,26
78,2841,11,<blank>,26
79,2842,12,<blank>,26
80,2863,2,<blank>,14

